date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:00:59	71395/71395	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/robots.txt		(from )
10:00:59	249839/249839	---M--	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/index.html	(from )
10:00:59	33726/33726	---M--	200	added ('OK')	image/png	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/favicon.png	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/favicon.png	(from https://flex-global.web.app/)
10:01:00	23921/23921	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/favicon.svg	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/favicon.svg	(from https://flex-global.web.app/)
10:01:00	13334/13334	---M--	200	added ('OK')	image/png	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/webclip.png	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/webclip.png	(from https://flex-global.web.app/)
10:01:01	209168/209168	---M--	200	added ('OK')	text/css	etag:%22289d9885f172c07ff3334019f0d053e2%22	https://cdn.hugeicons.com/font/hgi-stroke-rounded.css	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/cdn.hugeicons.com/font/hgi-stroke-rounded.css	(from https://flex-global.web.app/)
10:01:01	234938/234938	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/_astro/agents-page.D3ggaKDO.css	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/_astro/agents-page.D3ggaKDO.css	(from https://flex-global.web.app/)
10:01:01	4842/4842	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/_astro/index.CcXY6T_K.css	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/_astro/index.CcXY6T_K.css	(from https://flex-global.web.app/)
10:01:01	22435/22435	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/fg-full-negro-dorado.svg	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/fg-full-negro-dorado.svg	(from https://flex-global.web.app/)
10:01:02	249839/249839	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/home	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/home.html	(from https://flex-global.web.app/)
10:01:02	29/29	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2026%20Jul%202025%2016:01:02%20GMT	https://flex-global.web.app/planes-salud	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/planes-salud	(from https://flex-global.web.app/)
10:01:02	35/35	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2026%20Jul%202025%2016:01:02%20GMT	https://flex-global.web.app/nuestros-servicios	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/nuestros-servicios	(from https://flex-global.web.app/)
10:01:02	30796/30796	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/planes-salud/	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/planes-salud/index.html	(from https://flex-global.web.app/)
10:01:03	39/39	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2026%20Jul%202025%2016:01:03%20GMT	https://flex-global.web.app/asesoria-personalizada	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/asesoria-personalizada	(from https://flex-global.web.app/)
10:01:03	24/24	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2026%20Jul%202025%2016:01:03%20GMT	https://flex-global.web.app/card-id	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/card-id	(from https://flex-global.web.app/)
10:01:03	30977/30977	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/nuestros-servicios/	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/nuestros-servicios/index.html	(from https://flex-global.web.app/)
10:01:03	25/25	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2026%20Jul%202025%2016:01:03%20GMT	https://flex-global.web.app/reclamos	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/reclamos	(from https://flex-global.web.app/)
10:01:03	30/30	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2026%20Jul%202025%2016:01:03%20GMT	https://flex-global.web.app/mision-vision	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/mision-vision	(from https://flex-global.web.app/)
10:01:03	21/21	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2026%20Jul%202025%2016:01:03%20GMT	https://flex-global.web.app/team	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/team	(from https://flex-global.web.app/)
10:01:04	42/42	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2026%20Jul%202025%2016:01:04%20GMT	https://flex-global.web.app/que-es-un-seguro-de-salud	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/que-es-un-seguro-de-salud	(from https://flex-global.web.app/)
10:01:04	24890/24890	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/asesoria-personalizada/	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/asesoria-personalizada/index.html	(from https://flex-global.web.app/)
